Targa2,0,1,2,3,4,5,6,E
CV,0.00610920198549065,0.00572737686139748,0.0122184039709813,0.403970981290569,0.571974035891562,0,0,0
CW,0.000873171796550971,0.000873171796550971,0.0030561012879284,0.254529578694608,0.740449683475224,0,0,0.000218292949137743
CX,0.00749279538904899,0.00489913544668588,0.00951008645533141,0.238328530259366,0.739481268011527,0.000288184438040346,0,0
CY,0.00190294957183635,0.000237868696479543,0.00499524262607041,0.161988582302569,0.830875356803045,0,0,0
CZ,0.00310024112986566,0.00103341370995522,0.00688942473303479,0.133999311057527,0.854977609369618,0,0,0
DA,0.00228671943711522,0.00105540897097625,0.00650835532102023,0.0927000879507476,0.897449428320141,0,0,0
DB,0.00308166409861325,0.00231124807395994,0.00308166409861325,0.0770416024653313,0.914483821263482,0,0,0
DC,0.00401792613197342,0.00278164116828929,0.0108174934322361,0.0744861690619688,0.907742234585072,0.000154535620460516,0,0
DD,0.00212557226945716,0.00114453891432309,0.00555918901242642,0.0461085676913015,0.944735120994114,0.000327011118378025,0,0
DE,0.00128755364806867,0.00107296137339056,0.00321888412017167,0.0396995708154506,0.95343347639485,0.00128755364806867,0,0
DF,0.00222827432532805,0.000990344144590245,0.00396137657836098,0.0183213666749195,0.973508294132211,0.000495172072295123,0,0.000495172072295123
DG,0.00202565833896016,0.000675219446320054,0.00135043889264011,0.0141796083727211,0.980418636056718,0.00135043889264011,0,0
DH,0.00175967823026647,0.000502765208647562,0.00226244343891403,0.0110608345902464,0.980643539467069,0.00276520864756159,0.000754147812971342,0.000251382604323781
DJ,0.00359768496793368,0.00187705302674801,0.00610042233693102,0.0209604254653527,0.965743782261849,0.00172063194118567,0,0
DK,0.00288739172281039,0.00120307988450433,0.00529355149181906,0.0176852743022137,0.972569778633301,0.000360923965351299,0,0
DL,0.000743494423791822,0.00297397769516729,0.00446096654275093,0.00817843866171004,0.98364312267658,0,0,0
DM,0.0013262599469496,0.0002210433244916,0.0017683465959328,0.00442086648983201,0.987842617152962,0.00419982316534041,0.0002210433244916,0
DN,0.00488519785051295,0.000977039570102589,0.00341963849535906,0.0087933561309233,0.980459208597948,0.00146555935515388,0,0
