id,station_type,parent_id,carpark_id,name,municipality,name_en,name_it,name_de,standard_name,netex_type,netex_vehicletypes,netex_layout,netex_hazard_prohibited,netex_charging,netex_surveillance,netex_reservation,lat,lon
0609008,ParkingFacility,,,Parcheggi Senales,Senales - Schnals,Parking Schnals,Parcheggi Senales,Parkplätze Schnals,Parcheggi Senales,parkingZone,allPassengerVehicles,openSpace,true,false,false,noReservations,46.75701,10.78257
0609008_0,ParkingStation,0609008,0,Parcheggio Caravanpark Senales,Senales - Schnals,Parking Caravanpark Schnals,Parcheggio Caravanpark Senales,Parkplatz Caravanpark Schnals,Parcheggio Caravanpark Senales,parkingZone,allPassengerVehicles,openSpace,true,false,false,noReservations,46.753994841727,10.7836701766645
0609008_1,ParkingStation,0609008,1,Parcheggio P4 Senales,Senales - Schnals,Parking P4 Senales,Parcheggio P4 Senales,Parkplatz P4 Senales,Parcheggio P4 Senales,parkingZone,allPassengerVehicles,openSpace,true,false,false,noReservations,46.757591344518,10.7826286287433
0609420,ParkingFacility,,,Parcheggio Aeroporto Bolzano,Bolzano - Bozen,Parking Flughafen Bozen,Parcheggio Aeroporto Bolzano,Parkplatz Flughafen Bozen,Parcheggio Aeroporto Bolzano,parkAndRide,allPassengerVehicles,openSpace,true,false,false,noReservations,46.4634140554141,11.3299719263301
0609420_0,ParkingStation,0609420,0,Parcheggio Aeroporto Bolzano,Bolzano - Bozen,Parking Flughafen Bozen,Parcheggio Aeroporto Bolzano,Parkplatz Flughafen Bozen,Parcheggio Aeroporto Bolzano,parkAndRide,allPassengerVehicles,openSpace,true,false,false,noReservations,46.4634140554141,11.3299719263301
0609420_1,ParkingStation,0609420,1,Parcheggio Aeroporto Bolzano Privato,Bolzano - Bozen,Parking Flughafen Bozen Privat,Parcheggio Aeroporto Bolzano Privato,Parkplatz Flughafen Bozen Privat,Parcheggio Aeroporto Bolzano Privato,parkAndRide,allPassengerVehicles,openSpace,true,false,false,noReservations,46.4634140554141,11.3299719263301
0609636,ParkingFacility,,,Parcheggio Funivia Aschbach,Lagundo - Algund,Parking Seilbahn Aschbach,Parcheggio Funivia Aschbach,Parkplatz Seilbahn Aschbach,Parcheggio Funivia Aschbach,parkAndRide,allPassengerVehicles,openSpace,true,false,false,noReservations,46.6650255348354,11.0676335096125
0609636_0,ParkingStation,0609636,0,Parcheggio Funivia Aschbach,Lagundo - Algund,Parking Seilbahn Aschbach,Parcheggio Funivia Aschbach,Parkplatz Seilbahn Aschbach,Parcheggio Funivia Aschbach,parkAndRide,allPassengerVehicles,openSpace,true,false,false,noReservations,46.6650255348354,11.0676335096125
0609701,ParkingFacility,,,Parcheggio Stazione Ponte Gardena - Laion,Laion - Lajen,Parking Bahnhof Waidbruck - Lajen,Parcheggio Stazione Ponte Gardena - Laion,Parkplatz Bahnhof Waidbruck - Lajen,Parcheggio Stazione Ponte Gardena - Laion,parkAndRide,allPassengerVehicles,openSpace,true,false,false,noReservations,46.5999481153565,11.5320658113469
0609701_0,ParkingStation,0609701,0,Parcheggio Stazione Ponte Gardena - Laion,Laion - Lajen,Parking Bahnhof Waidbruck - Lajen,Parcheggio Stazione Ponte Gardena - Laion,Parkplatz Bahnhof Waidbruck - Lajen,Parcheggio Stazione Ponte Gardena - Laion,parkAndRide,allPassengerVehicles,openSpace,true,false,false,noReservations,46.5999481153565,11.5320658113469
0609818,ParkingFacility,,,Parcheggio My Mondschein,Bolzano - Bozen,Parking My Mondschein,Parcheggio My Mondschein,Parkplatz My Mondschein,Parcheggio My Mondschein,urbanParking,allPassengerVehicles,covered,true,true,false,noReservations,46.5005269813134,11.3581556556995
0609818_0,ParkingStation,0609818,0,Parcheggio My Mondschein,Bolzano - Bozen,Parking My Mondschein,Parcheggio My Mondschein,Parkplatz My Mondschein,Parcheggio My Mondschein,urbanParking,allPassengerVehicles,covered,true,true,false,noReservations,46.5005269813134,11.3581556556995
0609818_1,ParkingStation,0609818,1,Parcheggio My Mondschein Privato,Bolzano - Bozen,Parking My Mondschein Private,Parcheggio My Mondschein Privato,Parkplatz My Mondschein Privat,Parcheggio My Mondschein Privato,urbanParking,allPassengerVehicles,covered,true,true,false,noReservations,46.5005269813134,11.3581556556995
